avg_baseline_ppl,avg_delta_ppl,avg_delta_ppl_residual_attn,avg_delta_ppl_residual_both,avg_delta_ppl_residual_mlp,avg_residual_attn_ppl,avg_residual_both_ppl,avg_residual_mlp_ppl,avg_xsa_ppl,n_prompts,para_scale,path
38.16985382,1.53827971,825506.44590122,4966130922761792.0,11635082471.457806,825544.61575504,4966130922761829.0,11635082509.627625,39.70813353,2048,-20.0,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
38.16985382,1.12086088,724267.34581657,35379775883533.57,13204571565.389076,724305.51567039,35379775883571.7,13204571603.55895,39.2907147,2048,-17.5,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
38.16985382,0.73189709,656060.58788918,938135148586.7717,13263221527.13268,656098.757743,938135148624.9432,13263221565.30254,38.90175091,2048,-15.0,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
38.16985382,0.47508868,600845.62127904,15420683580.554705,12097317052.104887,600883.79113286,15420683618.724533,12097317090.274742,38.6449425,2048,-12.5,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
80.43267587,-2.10318857,743429.83717326,442150087.6312749,95472877.43268615,743510.26984913,442150168.06395084,95472957.865362,78.3294873,128,-10.0,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
38.16985382,0.18110829,615426.01847414,183899898.04039976,2870220280.220859,615464.18832797,183899936.21025303,2870220318.3907094,38.35096211,2048,-9.0,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
80.43267587,-2.40158477,878592.01506798,74637309.74066214,69876479.70179175,878672.44774384,74637390.17333795,69876560.13446759,78.03109109,128,-8.0,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
38.16985382,0.08235266,600185.13479084,31981608.72543348,77210351.33927554,600223.30464467,31981646.89528732,77210389.50912958,38.25220648,2048,-7.0,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
80.43267587,-1.56570941,700607.88805398,6208908.42598927,7235099.96139377,700688.32072985,6208988.85866513,7235180.39406964,78.86696645,128,-6.0,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
38.16985382,-0.00393583,692785.19504092,2611899.86901978,1210398.58273375,692823.36489474,2611938.03887359,1210436.75258757,38.16591799,2048,-5.0,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
38.16985382,0.00133829,670184.30239681,2374503.70790805,952541.4558073,670222.47225064,2374541.87776187,952579.62566112,38.17119211,2048,-4.5,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
80.43267587,-1.01221472,385983.62756078,2260039.75209919,1452479.05964612,386064.06023664,2260120.18477505,1452559.49232198,79.42046114,128,-4.0,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
38.4437631,0.20098832,654251.75043888,3298218.50821572,4211847.59063669,654290.19420198,3298256.95197882,4211886.03439979,38.64475142,128,-3.5,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
80.43267587,-1.04834045,236946.05612557,9769013.88729056,9133752.04006893,237026.48880143,9769094.31996642,9133832.47274479,79.38433541,128,-3.0,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
38.4437631,0.318635,14672543721447.232,39697958.1248808,15493560.8226128,14672543721485.668,39697996.5686439,15493599.26637591,38.7623981,128,-2.5,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
80.43267587,-1.01977881,368048.76005449,31885039.58306158,16156932.18112336,368129.19273036,31885120.01573744,16157012.61379923,79.41289706,128,-2.0,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
38.4437631,0.21098699,277876.6365753,5294236.02882484,6054549.29914248,277915.0803384,5294274.47258795,6054587.74290559,38.65475009,128,-1.5,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
80.43267587,-0.68455103,349.60577524,605946.73496934,295902.93103956,430.03845111,606027.1676452,295983.36371543,79.74812484,128,-1.0,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
38.4437631,0.12313085,51.38338414,241808.79924666,85277.53348888,89.82714724,241847.24300976,85315.97725198,38.56689396,128,-0.75,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
38.4437631,0.1893849,17.07110059,82700.28028468,24229.87401697,55.5148637,82738.72404779,24268.31778007,38.633148,128,-0.5,/Users/heshuai/Documents/99_Unsorted_Review/2026-05-15_imported_archives/02_bundle_zip/projects/Transformer-Geometry/Transformer-Geometry/Transformer-Geometry/drawing/para_ablation/data/para_ppl_summary.tsv
