layer,head,sample,tokens,baseline_loss,edited_loss,delta_loss
4,0,0,196.0,3.7498514652252197,3.749296188354492,-0.0005552768707275391
4,0,1,127.0,3.277437210083008,3.2758679389953613,-0.0015692710876464844
4,0,2,162.0,2.236849069595337,2.240508556365967,0.003659486770629883
4,0,3,92.0,4.259680271148682,4.2749924659729,0.01531219482421875
4,0,4,194.0,3.492979049682617,3.4927871227264404,-0.0001919269561767578
4,0,5,115.0,3.0955965518951416,3.1024606227874756,0.006864070892333984
4,0,6,109.0,4.343474388122559,4.33988094329834,-0.00359344482421875
4,0,7,48.0,3.7422702312469482,3.717339277267456,-0.024930953979492188
4,0,8,69.0,3.6436727046966553,3.638713836669922,-0.0049588680267333984
4,0,9,85.0,3.154078483581543,3.142866373062134,-0.01121211051940918
4,0,10,238.0,3.014183282852173,3.0119755268096924,-0.0022077560424804688
4,0,11,233.0,2.692305088043213,2.6982626914978027,0.005957603454589844
4,0,12,208.0,3.316392183303833,3.3149478435516357,-0.0014443397521972656
4,0,13,196.0,2.9502315521240234,2.9500627517700195,-0.00016880035400390625
4,0,14,131.0,3.4477827548980713,3.4437332153320312,-0.004049539566040039
4,0,15,125.0,2.781226396560669,2.780252456665039,-0.0009739398956298828
4,0,16,61.0,4.274525165557861,4.2807416915893555,0.006216526031494141
4,0,17,164.0,2.1575253009796143,2.159691572189331,0.002166271209716797
4,0,18,107.0,3.444591999053955,3.445826768875122,0.0012347698211669922
4,0,19,48.0,3.9804556369781494,3.977788209915161,-0.0026674270629882812
4,0,20,74.0,2.2217628955841064,2.224489688873291,0.0027267932891845703
4,0,21,103.0,3.7263450622558594,3.711137294769287,-0.015207767486572266
4,0,22,114.0,3.529902935028076,3.5223093032836914,-0.007593631744384766
4,0,23,50.0,5.623385429382324,5.623111724853516,-0.00027370452880859375
4,0,24,281.0,2.6462554931640625,2.647367477416992,0.0011119842529296875
4,0,25,247.0,2.2701804637908936,2.269970417022705,-0.00021004676818847656
4,0,26,173.0,4.154064178466797,4.162614822387695,0.008550643920898438
4,0,27,166.0,3.5206806659698486,3.522773027420044,0.0020923614501953125
4,0,28,98.0,2.981889486312866,2.9750044345855713,-0.006885051727294922
4,0,29,174.0,3.3573200702667236,3.3608062267303467,0.003486156463623047
4,0,30,173.0,3.108881711959839,3.1124141216278076,0.00353240966796875
4,0,31,215.0,3.8847367763519287,3.8824055194854736,-0.002331256866455078
4,0,32,186.0,3.0294442176818848,3.0342888832092285,0.00484466552734375
4,0,33,153.0,2.586921215057373,2.582332134246826,-0.004589080810546875
4,0,34,147.0,3.4457361698150635,3.4413111209869385,-0.004425048828125
4,0,35,50.0,4.256312370300293,4.267877101898193,0.01156473159790039
4,0,36,86.0,3.5403313636779785,3.5388638973236084,-0.0014674663543701172
4,0,37,154.0,4.02175235748291,4.029472351074219,0.007719993591308594
4,0,38,265.0,2.81864070892334,2.8175339698791504,-0.0011067390441894531
4,0,39,199.0,3.7489922046661377,3.750567674636841,0.001575469970703125
4,0,40,138.0,3.4839093685150146,3.488013744354248,0.0041043758392333984
4,0,41,98.0,3.799095869064331,3.7983036041259766,-0.0007922649383544922
4,0,42,167.0,2.8247838020324707,2.8265607357025146,0.0017769336700439453
4,0,43,288.0,4.184951305389404,4.184747695922852,-0.00020360946655273438
4,0,44,225.0,2.718129873275757,2.7233810424804688,0.005251169204711914
4,0,45,191.0,3.3310375213623047,3.3287835121154785,-0.002254009246826172
4,0,46,92.0,4.547847747802734,4.550668239593506,0.0028204917907714844
