para_scale	n_prompts	mean_per_text_baseline_ppl	mean_per_text_xsa_ppl	mean_per_text_delta_ppl_xsa	mean_per_text_residual_attn_ppl	mean_per_text_delta_ppl_residual_attn	mean_per_text_residual_mlp_ppl	mean_per_text_delta_ppl_residual_mlp	mean_per_text_residual_both_ppl	mean_per_text_delta_ppl_residual_both	weighted_baseline_loss	weighted_baseline_ppl	weighted_xsa_loss	weighted_delta_loss_xsa	weighted_xsa_ppl	weighted_residual_attn_loss	weighted_delta_loss_residual_attn	weighted_residual_attn_ppl	weighted_residual_mlp_loss	weighted_delta_loss_residual_mlp	weighted_residual_mlp_ppl	weighted_residual_both_loss	weighted_delta_loss_residual_both	weighted_residual_both_ppl	median_baseline_loss	median_xsa_loss	median_delta_loss_xsa
-20	2048	38.16985382	39.70813353	1.53827971	825544.61575504	825506.44590122	11635082509.62762451	11635082471.45780563	4966130922761829.00000000	4966130922761792.00000000	3.25157423	25.83097181	3.28877670	0.03720247	26.81004682	13.51945120	10.26787697	743743.28048124	18.14364389	14.89206966	75802656.35274512	31.56062457	28.30905034	50886794510431.83593750	3.30591965	3.34743869	0.03451157
-17.5	2048	38.16985382	39.29071470	1.12086088	724305.51567039	724267.34581657	13204571603.55895042	13204571565.38907623	35379775883571.70312500	35379775883533.57031250	3.25157423	25.83097181	3.27801844	0.02644421	26.52316341	13.37477581	10.12320158	643563.38748540	18.18308321	14.93150898	78851998.32927726	28.83012476	25.57855053	3317142236974.36035156	3.30591965	3.33216262	0.02561390
-15	2048	38.16985382	38.90175091	0.73189709	656098.75774300	656060.58788918	13263221565.30253983	13263221527.13268089	938135148624.94323730	938135148586.77172852	3.25157423	25.83097181	3.26905781	0.01748358	26.28656081	13.25038709	9.99881286	568289.97811617	18.23093856	14.97936433	82717236.73091444	25.69321884	22.44164461	144020119377.78909302	3.30591965	3.32138634	0.01756799
-12.5	2048	38.16985382	38.64494250	0.47508868	600883.79113286	600845.62127904	12097317090.27474213	12097317052.10488701	15420683618.72453308	15420683580.55470467	3.25157423	25.83097181	3.26242191	0.01084768	26.11270316	13.12521658	9.87364235	501428.63831694	18.32976911	15.07819488	91309839.22363484	22.32117219	19.06959796	4942673360.64908886	3.30591965	3.31437743	0.01095271
-10	128	80.43267587	78.32948730	-2.10318857	743510.26984913	743429.83717326	95472957.86536200	95472877.43268615	442150168.06395084	442150087.63127488	3.91109015	49.95337885	3.90010150	-0.01098865	49.40746361	13.33087278	9.41978263	615920.25644920	18.31856788	14.40747773	90292764.00681306	19.66657937	15.75548922	347605707.76849753	3.95844591	3.92130589	-0.01243711
-9	2048	38.16985382	38.35096211	0.18110829	615464.18832797	615426.01847414	2870220318.39070940	2870220280.22085905	183899936.21025303	183899898.04039976	3.25157423	25.83097181	3.25538167	0.00380744	25.92950925	13.03606280	9.78448857	458659.23423877	18.38124610	15.12967187	96133277.93640570	18.80973299	15.55815876	147558163.64978850	3.30591965	3.30569065	0.00428933
-8	128	80.43267587	78.03109109	-2.40158477	878672.44774384	878592.01506798	69876560.13446759	69876479.70179175	74637390.17333795	74637309.74066214	3.91109015	49.95337885	3.89738874	-0.01370141	49.27361477	13.52579779	9.61470765	748478.52656995	17.98522415	14.07413400	64696919.89282998	17.99646005	14.08536990	65427947.06600891	3.95844591	3.92264676	-0.01314747
-7	2048	38.16985382	38.25220648	0.08235266	600223.30464467	600185.13479084	77210389.50912958	77210351.33927554	31981646.89528732	31981608.72543348	3.25157423	25.83097181	3.25272687	0.00115264	25.86076286	13.00043487	9.74886064	442605.82730044	17.22917290	13.97759867	30376289.01173086	17.03027791	13.77870368	24897498.91175231	3.30591965	3.30417871	0.00106180
-6	128	80.43267587	78.86696645	-1.56570941	700688.32072985	700607.88805398	7235180.39406964	7235099.96139377	6208988.85866513	6208908.42598927	3.91109015	49.95337885	3.90104637	-0.01004378	49.45416937	13.33644612	9.42535597	619362.57313897	15.67618378	11.76509363	6428062.83643842	15.51288200	11.60179185	5459577.69968611	3.95844591	3.94298983	-0.00945795
-5	2048	38.16985382	38.16591799	-0.00393583	692823.36489474	692785.19504092	1210436.75258757	1210398.58273375	2611938.03887359	2611899.86901978	3.25157423	25.83097181	3.25111482	-0.00045941	25.81910757	12.93860561	9.68703138	416068.67377720	13.80946051	10.55788628	993968.21934362	14.51387585	11.26230163	2010463.50865284	3.30591965	3.30334711	-0.00023520
